text;action;action cluster;action_type
Regulations require private firms to disclose their disaster preparedness measures.;Regulations To Mandate DRR Systems For Private Sector;Environmental laws and regulatory framework;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Corporate DRR plans must align with national disaster risk reduction strategies.;Regulations To Mandate DRR Systems For Private Sector;Environmental laws and regulatory framework;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Laws mandate hazard-resistant designs for private sector construction projects.;Regulations To Mandate DRR Systems For Private Sector;Environmental laws and regulatory framework;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Regulations incentivize businesses to invest in DRR technologies and systems.;Regulations To Mandate DRR Systems For Private Sector;Environmental laws and regulatory framework;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Private companies are required to provide DRR training for employees.;Regulations To Mandate DRR Systems For Private Sector;Environmental laws and regulatory framework;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Governments audit private sector compliance with disaster risk reduction regulations.;Regulations To Mandate DRR Systems For Private Sector;Environmental laws and regulatory framework;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Social networks provide emotional and material support during crises.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Communities rely on social networks to share resources and information.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Social networks strengthen disaster recovery by facilitating local collaboration.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Families depend on extended social networks for childcare and elder care during emergencies.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Social media platforms enhance the reach and effectiveness of social networks in times of crisis.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Peer-to-peer networks enable knowledge sharing and problem-solving at the community level.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Social networks build community resilience by fostering a sense of solidarity.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Informal social networks often act as first responders during emergencies.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Faith-based networks play a significant role in supporting disaster recovery efforts.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Grassroots networks mobilize resources quickly to assist affected individuals.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Reliance On Social Networks.;Reliance On Social Networks;Social protection actions;Risk transfer: insurance and social protection instruments
Renewable energy technologies include solar panels, wind turbines, and geothermal systems.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Governments incentivize adopting renewable energy technologies to reduce emissions.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Communities invest in renewable energy systems to achieve energy independence.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Research and innovation drive advancements in renewable energy technologies.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Wind energy technologies power large-scale operations with minimal environmental impact.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar power systems are installed in schools and public buildings to cut costs.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Renewable energy technologies integrate energy storage solutions like batteries.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Rooftop solar installations reduce energy expenses for households and businesses.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Hydroelectric systems are a significant part of renewable energy strategies.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Renewable technologies contribute to achieving global climate goals.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Renewable Energy Technologies.;Renewable Energy Technologies;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Hazard-resistant infrastructure design reduces the impact of earthquakes on buildings.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Flood-resistant buildings incorporate elevated foundations and waterproof materials.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Hazard-resistant design includes reinforced walls for hurricane-prone areas.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Resilience measures like heat-reflective roofs mitigate urban heat island effects.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Engineers design buildings to withstand landslides in vulnerable areas.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Hazard-resistant measures include using fireproof materials in wildfire zones.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Communities adopt resilient building designs to reduce disaster recovery costs.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Construction in flood zones now incorporates advanced drainage systems.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Schools adopt resilient designs to ensure continuity during natural disasters.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Hazard-resistant measures prioritize the safety of vulnerable populations.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction.;Resilience And Resistance Measures For Buildings, Hazard Resistant Infrastructure Design And Construction;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Revolving funds finance renewable energy projects in underserved areas.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Community-based revolving funds support disaster recovery initiatives.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Revolving funds provide affordable financing for sustainable housing improvements.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Renewable energy cooperatives use revolving funds to expand clean energy access.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Governments establish revolving funds to promote energy efficiency upgrades.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Revolving funds recycle repayments to fund new climate adaptation projects.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Communities manage revolving funds to improve water and sanitation facilities.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Training programs teach communities how to establish and manage revolving funds.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
NGOs partner with governments to scale revolving fund models globally.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Revolving funds prioritize projects that enhance climate resilience in vulnerable areas.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Revolving Funds.;Revolving Funds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Savings groups provide financial security for households during climate emergencies.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Communities form savings groups to fund small-scale adaptation projects.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Savings groups support investments in sustainable agricultural practices.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Women-led savings groups improve financial independence in rural areas.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Members of savings groups pool resources to fund climate-smart technologies.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Savings groups reduce the need for high-interest loans from informal lenders.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Governments partner with savings groups to promote financial inclusion in underserved areas.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Savings groups integrate insurance components to enhance resilience to climate shocks.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Training programs improve the capacity of savings groups to manage resources effectively.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Savings groups contribute to community resilience by fostering collective financial planning.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Savings Groups.;Savings Groups;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Coastal communities use sea level models to plan for future relocations.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Sea level rise modelling predicts the impact of storm surges on urban areas.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Governments depend on modelling to design protective barriers for coastal cities.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Maps generated from sea level models guide emergency evacuation routes.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Modelling helps evaluate the long-term risks to marine ecosystems.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Flood insurance policies are informed by accurate sea level rise models.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Sea level rise projections assist in determining safe zones for new developments.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Coastal industries adapt operations based on sea level rise modelling outcomes.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Communities plan for saltwater intrusion using sea level data.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Ports use these models to adjust infrastructure against future risks.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Sea Level Rise Modelling.;Sea Level Rise Modelling;Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
Sea walls protect coastal cities from storm surges and erosion.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Coastal protection structures reduce the impact of rising sea levels on communities.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Sea walls are constructed using durable materials to withstand harsh marine conditions.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Coastal protection designs incorporate natural features like dunes and vegetation.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Sea walls are part of broader coastal management plans for resilience.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Regular inspections ensure the structural integrity of sea walls over time.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Coastal protection structures include groynes to manage sediment and wave action.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Sea walls are retrofitted to handle higher tides caused by climate change.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Governments invest in coastal protection structures to safeguard economic hubs.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Communities advocate for nature-based solutions alongside sea wall construction.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Sea Walls And Coastal Protection Structures.;Sea Walls And Coastal Protection Structures;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Seaweed And Sea Grass Cultivations;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seaweed farming supports sustainable aquaculture and provides alternative livelihoods.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seaweed cultivation improves water quality by absorbing excess nutrients.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seagrass beds serve as critical habitats for marine biodiversity.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Farmers grow seaweed to produce biofuels and biodegradable materials.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seaweed farming sequesters carbon, contributing to climate change mitigation.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Coastal communities benefit economically from seaweed and seagrass farming initiatives.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seagrass restoration projects protect coastlines from erosion and storm surges.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seaweed farming integrates with fish farming for sustainable aquaculture.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Government incentives support the expansion of seaweed farming in coastal areas.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Research focuses on enhancing the productivity of seaweed and seagrass cultivation systems.;Seaweed And Sea Grass Cultivations;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Upgraded sewage works reduce the risk of contamination during floods.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Sewage systems are redesigned to handle increased urban populations.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Wastewater treatment plants are upgraded to meet environmental regulations.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Improved sewage works integrate technologies for water recycling and reuse.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Communities benefit from modernized sewage works that prevent health risks.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Smart sensors in sewage systems detect blockages and improve maintenance.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Governments invest in sewage works to improve sanitation in vulnerable areas.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Flood-resistant designs ensure sewage works function during extreme weather.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Advanced sewage treatment systems reduce the environmental impact of urbanization.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Public awareness campaigns encourage proper use of sewage systems to maintain functionality.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Sewage Works.;Sewage Works;Critical infrastructure and protective systems;Climate-proofing of infrastructure and services
Shading in public spaces improves thermal comfort in outdoor areas.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Public parks include shaded areas to encourage outdoor activities.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Tree planting initiatives create natural shading in public spaces.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Urban planners design shaded walkways to reduce heat exposure for pedestrians.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Shading in playgrounds protects children from harmful UV radiation.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar panels integrated into shading structures provide dual benefits.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Shaded bus stops offer relief from heat for commuters.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Governments fund shading projects to enhance urban heat island mitigation.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Shading in open markets supports local vendors by improving customer comfort.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Retractable shading systems are installed in public venues for flexibility.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Shading In Public Spaces.;Shading In Public Spaces;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Sharing local and traditional knowledge helps adapt practices to specific environments.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Indigenous knowledge systems contribute to biodiversity conservation and resource management.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Local knowledge is integrated into national adaptation planning frameworks.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Communities use traditional methods to predict and prepare for climate variations.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Knowledge-sharing platforms prioritize local experiences in addressing climate impacts.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Traditional agricultural practices support adaptation to erratic weather patterns.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Sharing indigenous practices helps restore ecosystems and protect natural resources.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Governments collaborate with communities to preserve and use traditional knowledge.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Workshops focus on integrating traditional knowledge into modern resilience plans.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Education campaigns respect and amplify traditional voices in climate adaptation strategies.;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning).;Sharing Local And Traditional Knowledge (Including Integrating Into Adaptation Planning);Building knowledge for resilience;Sharing of knowledge and best practices on climate risk management
Smart metering systems track household energy consumption in real time.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Households use smart meters to identify and reduce energy waste.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Smart meters allow utilities to manage energy loads efficiently.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Governments incentivize smart metering to promote energy efficiency.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Smart meters help integrate renewable energy sources into household grids.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Households use smart metering data to optimize appliance usage patterns.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Utilities use smart metering to detect and address outages faster.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Smart meters enable dynamic pricing to encourage energy savings during peak hours.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Data from smart meters supports long-term energy policy development.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Households equipped with smart meters benefit from personalized energy-saving recommendations.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Smart Metering In Households.;Smart Metering In Households;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Social safety nets provide financial assistance to low-income households during crises.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Safety nets include unemployment benefits to stabilize families during economic downturns.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Governments implement food security programs as part of social safety nets.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Social protection schemes provide housing subsidies for disaster-affected families.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Social safety nets protect workers through access to paid leave during emergencies.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Social protection programs offer healthcare access to underserved populations.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Social safety nets include cash transfers linked to disaster recovery efforts.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Governments expand social safety nets to cover vulnerable populations affected by climate change.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Collaboration between governments and international agencies strengthens social safety net programs.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Social safety nets reduce poverty and build resilience to economic shocks.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Social Safety Nets And Social Protection.;Social Safety Nets And Social Protection;Social protection actions;Risk transfer: insurance and social protection instruments
Soil conservation efforts prevent erosion, protecting water resources.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Cover crops are used to enhance soil retention and water absorption.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Soil conservation practices reduce sedimentation in rivers and reservoirs.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Communities adopt terracing to conserve soil and improve water management.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Agroforestry integrates trees into farmland to promote soil and water conservation.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Conservation tillage minimizes soil disturbance, preserving moisture and nutrients.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Grass strips along waterways reduce runoff and protect water quality.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Governments invest in soil conservation programs to sustain agricultural productivity.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Soil conservation techniques improve water infiltration and storage in drylands.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Communities engage in training programs on soil conservation for water resource management.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Soil Conservation For Water Resources.;Soil Conservation For Water Resources;Water security and quality;Climate-proofing of infrastructure and services
Solar Power Irrigation;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar power irrigation systems reduce dependency on fossil fuels in farming.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Farmers adopt solar irrigation to cut costs and improve crop yields.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar pumps draw water from underground sources for irrigation efficiently.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar irrigation supports sustainable agriculture in off-grid regions.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Governments provide subsidies for solar irrigation to support small-scale farmers.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar-powered systems integrate with drip irrigation to conserve water.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar irrigation technology reduces greenhouse gas emissions from farming.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Communities benefit from solar irrigation projects in drought-prone areas.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Solar irrigation reduces reliance on inconsistent rainfall patterns.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Renewable energy systems for irrigation contribute to national climate adaptation goals.;Solar Power Irrigation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Sub-national plans address localized vulnerabilities to climate impacts.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Local adaptation plans incorporate community knowledge into resilience strategies.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sub-national plans prioritize equitable access to adaptation resources.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Local governments implement adaptation projects tailored to their specific risks.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sub-national plans coordinate with national strategies for funding and guidance.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Community-based monitoring informs local adaptation plan updates.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Local adaptation plans promote collaboration with nearby municipalities.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sub-national plans emphasize education and public awareness for adaptation.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Local plans focus on improving water management systems for climate resilience.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Local adaptation plans include strategies for diversifying income sources in rural areas.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sub-National And Local Adaptation Plans.;Sub-National And Local Adaptation Plans;Institutional-led climate adaptation planning processes;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sustainable forest management protects biodiversity while supporting livelihoods.;Sustainable Forest Management;Environmental governance and resource management systems;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sustainable forest management includes replanting harvested areas.;Sustainable Forest Management;Environmental governance and resource management systems;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Forest management plans reduce illegal logging and deforestation.;Sustainable Forest Management;Environmental governance and resource management systems;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Sustainable practices balance timber production with ecological preservation.;Sustainable Forest Management;Environmental governance and resource management systems;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
